Model Range,Brand,Assigned Years
md-1 to md-10,Toyota,"2022, 2023, 2024"
md-11 to md-15,Chevrolet,"2007, 2012, 2024"
md-16 to md-20,Chevrolet,"2008, 2015, 2025"
md-21 to md-25,Ford,"2013, 2014, 2015"
md-26 to md-30,Ford,"2022, 2023, 2024"
md-31 to md-35,Hyundai,"2008, 2012, 2024"
md-36 to md-40,Hyundai,"2023, 2024, 2025"
md-41 to md-45,Mitsubishi,"2012, 2014, 2016"
md-46 to md-50,Mitsubishi,"2023, 2024, 2025"
md-51 to md-60,Jeep,"2015, 2022, 2024"
md-61 to md-65,Chery,"2014, 2016, 2024"
md-66 to md-70,Chery,"2023, 2024, 2025"
md-71 to md-80,JAC,"2024, 2025, 2026"
md-81 to md-90,Renault,"2012, 2023, 2024"
md-91 to md-100,Fiat,"2015, 2024, 2025"